,SKILLID,PREFERREDLABEL,SKILLGROUPLABEL,SKILLGROUPID
2931,687671b5ebd2bf665349b1a4,finish costumes,creating artistic designs or performances,687671b3ebd2bf665349a59f
2932,687671b5ebd2bf665349b1a5,slaughter livestock following cultural practices,"hunting, trapping and slaughtering animals",687671b3ebd2bf665349a4f5
2933,687671b5ebd2bf665349b1a6,inform of court sentence,"advising on legal, regulatory or procedural matters",687671b3ebd2bf665349a617
2934,687671b5ebd2bf665349b1a7,comply with wildlife hazard management programmes,complying with environmental protection laws and standards,687671b3ebd2bf665349a55a
2935,687671b5ebd2bf665349b1a8,maintain quality of pool water,"monitoring, inspecting and testing",687671b3ebd2bf665349a516
2936,687671b5ebd2bf665349b1a9,respond to changing situations in fishery,,
2937,687671b5ebd2bf665349b1aa,manage multi frequency wireless signal distribution,operating audio-visual equipment,687671b3ebd2bf665349a579
2938,687671b5ebd2bf665349b1ab,use stone splitting techniques,cutting materials and drilling holes,687671b3ebd2bf665349a543
2939,687671b5ebd2bf665349b1ac,set up dates,planning events and programmes,687671b3ebd2bf665349a5de
2940,687671b5ebd2bf665349b1ad,provide tourism related information,,
2941,687671b5ebd2bf665349b1ae,manufacture man-made fibres,"operating machinery for the manufacture and treatment of textiles, fur and leather products",687671b3ebd2bf665349a590
2942,687671b5ebd2bf665349b1af,evaluate restoration procedures,"evaluating systems, programmes, equipment and products",687671b3ebd2bf665349a61c
2943,687671b5ebd2bf665349b1b0,maintain turf and grass,cultivating land and crops,687671b3ebd2bf665349a5ad
2944,687671b5ebd2bf665349b1b1,interpret tarot cards,advising and consulting,687671b3ebd2bf665349a4ac
2945,687671b5ebd2bf665349b1b2,adjust jewellery,shaping materials to create products,687671b3ebd2bf665349a4fe
2946,687671b5ebd2bf665349b1b3,ensure compliance with noise standards,complying with health and safety procedures,687671b3ebd2bf665349a525
2947,687671b5ebd2bf665349b1b4,monitor sales area for security reasons,monitoring safety or security,687671b3ebd2bf665349a4a7
2948,687671b5ebd2bf665349b1b5,maintain records of mining operations,maintaining operational records,687671b3ebd2bf665349a498
2949,687671b5ebd2bf665349b1b6,spiritualism,religion and theology,687671b2ebd2bf665349a3d2
2950,687671b5ebd2bf665349b1b7,catch poultry on a farm,tending and breeding animals,687671b3ebd2bf665349a614
2951,687671b5ebd2bf665349b1b8,maintain laboratory equipment,"maintaining electrical, electronic and precision equipment",687671b3ebd2bf665349a611
2952,687671b5ebd2bf665349b1b9,maintain plastic machinery,maintaining mechanical machinery,687671b3ebd2bf665349a59c
2953,687671b5ebd2bf665349b1ba,design musical events involving patients,planning events and programmes,687671b3ebd2bf665349a5de
2954,687671b5ebd2bf665349b1bb,recommend pet food selection,advising on products and services,687671b3ebd2bf665349a530
2955,687671b5ebd2bf665349b1bc,apply procedures to ensure cargo complies with customs regulations,ensuring compliance with legislation,687671b3ebd2bf665349a4eb
2956,687671b5ebd2bf665349b1bd,Ukrainian,languages,687671b3ebd2bf665349a501
2957,687671b5ebd2bf665349b1be,prevent undesired changes to sound design,operating audio-visual equipment,687671b3ebd2bf665349a579
2958,687671b5ebd2bf665349b1bf,manage fitness goals,providing medical advice,687671b3ebd2bf665349a5d0
2959,687671b5ebd2bf665349b1c0,funding methods,"finance, banking and insurance",687671b2ebd2bf665349a3f9
2960,687671b5ebd2bf665349b1c1,analyse cell cultures,testing and analysing substances,687671b3ebd2bf665349a5e2
2961,687671b5ebd2bf665349b1c2,operate manual planer,cutting materials and drilling holes,687671b3ebd2bf665349a543
2962,687671b5ebd2bf665349b1c3,keep inventory of goods in production,maintaining operational records,687671b3ebd2bf665349a498
2963,687671b5ebd2bf665349b1c4,inform on toilet facilities malfunctions,communicating with colleagues and clients,687671b3ebd2bf665349a591
2964,687671b5ebd2bf665349b1c5,adapt to different weather conditions,,
2965,687671b5ebd2bf665349b1c6,treat scalp conditions,styling hair and providing beauty treatments,687671b3ebd2bf665349a52b
2966,687671b5ebd2bf665349b1c7,develop information security strategy,protecting privacy and personal data,687671b3ebd2bf665349a4d7
2967,687671b5ebd2bf665349b1c8,remove processed workpiece,"positioning materials, tools or equipment",687671b3ebd2bf665349a4dd
2968,687671b5ebd2bf665349b1c9,attend to fitness clients under controlled health conditions,providing information and support to the public and clients,687671b3ebd2bf665349a554
2969,687671b5ebd2bf665349b1ca,use equine dental equipment,using precision hand tools,687671b3ebd2bf665349a519
2970,687671b5ebd2bf665349b1cb,deliver group sessions on nutrition,training on health or medical topics,687671b3ebd2bf665349a615
2971,687671b5ebd2bf665349b1cc,printing on large scale machines,audio-visual techniques and media production,687671b2ebd2bf665349a3ca
2972,687671b5ebd2bf665349b1cd,instruct on the use of hearing aids,providing medical advice,687671b3ebd2bf665349a5d0
2973,687671b5ebd2bf665349b1ce,prepare travel packages,planning events and programmes,687671b3ebd2bf665349a5de
2974,687671b5ebd2bf665349b1cf,impact of geological factors on mining operations,mining and extraction,687671b3ebd2bf665349a43b
2975,687671b5ebd2bf665349b1d0,instruct animal owners,advising and consulting,687671b3ebd2bf665349a4ac
2976,687671b5ebd2bf665349b1d1,apply colour coats,applying protective or decorative solutions or coatings,687671b3ebd2bf665349a52a
2977,687671b5ebd2bf665349b1d2,teach biology,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
2978,687671b5ebd2bf665349b1d3,legal requirements for operating in the automotive retail sector,law,687671b2ebd2bf665349a401
2979,687671b5ebd2bf665349b1d4,fill nail holes in wood planks,applying material to fill gaps in surfaces,687671b3ebd2bf665349a5f2
2980,687671b5ebd2bf665349b1d5,manage quality,working efficiently,687671b3ebd2bf665349a4b1
2981,687671b5ebd2bf665349b1d6,cooperate with funeral directors,working in teams,687671b3ebd2bf665349a603
2982,687671b5ebd2bf665349b1d7,laboratory equipment,chemistry,687671b2ebd2bf665349a415
2983,687671b5ebd2bf665349b1d8,work with healthcare users under medication,working with others,687671b3ebd2bf665349a581
2984,687671b5ebd2bf665349b1d9,craftsmanship,handicrafts,687671b2ebd2bf665349a3cd
2985,687671b5ebd2bf665349b1da,interpret extraction data,analysing and evaluating information and data,687671b3ebd2bf665349a4c4
2986,687671b5ebd2bf665349b1db,advertise travel insurance,"promoting products, services, or programs",687671b3ebd2bf665349a616
2987,687671b5ebd2bf665349b1dc,inspect glass sheet,monitoring quality of products,687671b3ebd2bf665349a4a2
2988,687671b5ebd2bf665349b1dd,cast jewellery metal,making production moulds and casts,687671b3ebd2bf665349a50a
2989,687671b5ebd2bf665349b1de,handle delivery of raw materials,storing goods and materials,687671b3ebd2bf665349a60e
2990,687671b5ebd2bf665349b1df,take over pedal control,driving light vehicles,687671b3ebd2bf665349a5f5
2991,687671b5ebd2bf665349b1e0,provide protective equipment against infectious diseases,assisting and caring,687671b3ebd2bf665349a5b0
2992,687671b5ebd2bf665349b1e1,engage local communities in the management of natural protected areas,developing professional relationships or networks,687671b3ebd2bf665349a571
2993,687671b5ebd2bf665349b1e2,develop military intelligence records,managing information,687671b3ebd2bf665349a4e2
2994,687671b5ebd2bf665349b1e3,set import export strategies,"developing financial, business or marketing plans",687671b3ebd2bf665349a4ed
2995,687671b5ebd2bf665349b1e4,anticipate foreseeable problems on the road,driving vehicles,687671b3ebd2bf665349a625
2996,687671b5ebd2bf665349b1e5,stay up-to-date with latest book releases,monitoring developments in area of expertise,687671b3ebd2bf665349a5ff
2997,687671b5ebd2bf665349b1e6,use thermal management,protecting ict devices,687671b3ebd2bf665349a4b7
2998,687671b5ebd2bf665349b1e7,swimming styles,sports,687671b3ebd2bf665349a476
2999,687671b5ebd2bf665349b1e8,sell floor and wall coverings,selling products or services,687671b3ebd2bf665349a5fc
3000,687671b5ebd2bf665349b1e9,polish dental restorations,fabricating medical and prosthetic devices,687671b3ebd2bf665349a4ef
3001,687671b5ebd2bf665349b1ea,assess debtor's financial situation,analysing financial and economic data,687671b3ebd2bf665349a5ef
3002,687671b5ebd2bf665349b1eb,balance tyres,measuring physical properties,687671b3ebd2bf665349a4e9
3003,687671b5ebd2bf665349b1ec,manage cellar stocks,allocating and controlling physical resources,687671b3ebd2bf665349a623
3004,687671b5ebd2bf665349b1ed,literary theory,literature and linguistics,687671b2ebd2bf665349a3da
3005,687671b5ebd2bf665349b1ee,manage different departments in a hospitality establishment,directing operational activities,687671b3ebd2bf665349a56b
3006,687671b5ebd2bf665349b1ef,fuel inventory methods,chemical engineering and processes,687671b3ebd2bf665349a42f
3007,687671b5ebd2bf665349b1f0,install drop ceiling,installing and assembling building fixtures,687671b3ebd2bf665349a522
3008,687671b5ebd2bf665349b1f1,dock operations,transport services,687671b3ebd2bf665349a484
3009,687671b5ebd2bf665349b1f2,digitise documents,"managing, gathering and storing digital data",687671b3ebd2bf665349a538
3010,687671b5ebd2bf665349b1f3,assemble sensors,assembling electrical and electronic products,687671b3ebd2bf665349a523
3011,687671b5ebd2bf665349b1f4,execute email marketing,,
3012,687671b5ebd2bf665349b1f5,leather physical testing,"textiles (clothes, footwear and leather)",687671b3ebd2bf665349a43a
3013,687671b5ebd2bf665349b1f6,ensure maintenance of kitchen equipment,"cleaning tools, equipment, workpieces and vehicles",687671b3ebd2bf665349a551
3014,687671b5ebd2bf665349b1f7,measure parts of manufactured products,measuring dimensions and related properties,687671b3ebd2bf665349a4ca
3015,687671b5ebd2bf665349b1f8,manage school budget,managing budgets or finances,687671b3ebd2bf665349a4bc
3016,687671b5ebd2bf665349b1f9,prepare cost-plus pricing models,estimating resource needs,687671b3ebd2bf665349a5b5
3017,687671b5ebd2bf665349b1fa,provide neuromusculoskeletal therapy,providing physical therapies,687671b3ebd2bf665349a4f0
3018,687671b5ebd2bf665349b1fb,execute flight plans,following instructions and procedures,687671b3ebd2bf665349a520
3019,687671b5ebd2bf665349b1fc,make set construction drawings,creating visual displays and decorations,687671b3ebd2bf665349a594
3020,687671b5ebd2bf665349b1fd,remove defective products,sorting materials or products,687671b3ebd2bf665349a50b
3021,687671b5ebd2bf665349b1fe,apply footwear and leather goods quality control techniques,,
3022,687671b5ebd2bf665349b1ff,manage vessel fleet,managing transport and logistics activities,687671b3ebd2bf665349a5ea
3023,687671b5ebd2bf665349b200,undertake inspections,monitoring safety or security,687671b3ebd2bf665349a4a7
3024,687671b5ebd2bf665349b201,manage pension funds,managing budgets or finances,687671b3ebd2bf665349a4bc
3025,687671b5ebd2bf665349b202,perform emergency street clean ups,cleaning outdoor spaces,687671b3ebd2bf665349a4f6
3026,687671b5ebd2bf665349b203,develop fish health and welfare management plans,developing operational policies and procedures,687671b3ebd2bf665349a5c6
3027,687671b5ebd2bf665349b204,assess power needs,allocating and controlling physical resources,687671b3ebd2bf665349a623
3028,687671b5ebd2bf665349b205,liaise with educational support staff,collaborating and liaising,687671b3ebd2bf665349a5a3
3029,687671b5ebd2bf665349b206,analyse scientific data,analysing scientific and medical data,687671b3ebd2bf665349a5b9
3030,687671b5ebd2bf665349b207,create online news content,developing instructive or promotional materials,687671b3ebd2bf665349a5e0
3031,687671b5ebd2bf665349b208,use lensometer,using precision measuring equipment,687671b3ebd2bf665349a5d3
3032,687671b5ebd2bf665349b209,advise on strengthening security,advising on workplace health and safety issues,687671b3ebd2bf665349a49b
3033,687671b5ebd2bf665349b20a,manage time in agricultural production,planning events and programmes,687671b3ebd2bf665349a5de
3034,687671b5ebd2bf665349b20b,conduct cupping therapy,providing physical therapies,687671b3ebd2bf665349a4f0
3035,687671b5ebd2bf665349b20c,use art in a therapeutic setting,providing psychological and occupational therapies,687671b3ebd2bf665349a50d
3036,687671b5ebd2bf665349b20d,electroencephalography,medical diagnostic and treatment technology,687671b3ebd2bf665349a45f
3037,687671b5ebd2bf665349b20e,perform product testing,monitoring quality of products,687671b3ebd2bf665349a4a2
3038,687671b5ebd2bf665349b20f,provide healthcare services to patients in general medical practice,"providing medical, dental and nursing care",687671b3ebd2bf665349a545
3039,687671b5ebd2bf665349b210,supervise artefact movement,"moving or lifting materials, equipment, or supplies",687671b3ebd2bf665349a60d
3040,687671b5ebd2bf665349b211,assess contamination,assessing land or real estate,687671b3ebd2bf665349a4fa
3041,687671b5ebd2bf665349b212,perceive context when interpreting,listening and asking questions,687671b3ebd2bf665349a5ee
3042,687671b5ebd2bf665349b213,inter-professional communication in the psychosocial field,social work and counselling,687671b3ebd2bf665349a468
3043,687671b5ebd2bf665349b214,operate grain cleaning machine,operating food processing machinery,687671b3ebd2bf665349a5dd
3044,687671b5ebd2bf665349b215,seal wires,"installing and repairing electrical, electronic and precision equipment",687671b3ebd2bf665349a598
3045,687671b5ebd2bf665349b216,create manufacturing guidelines,developing operational policies and procedures,687671b3ebd2bf665349a5c6
3046,687671b5ebd2bf665349b217,dip-coating process,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
3047,687671b5ebd2bf665349b218,apply crisis intervention,implementing new procedures or processes,687671b3ebd2bf665349a597
3048,687671b5ebd2bf665349b219,food materials,food processing,687671b3ebd2bf665349a438
