informal work in eng,SECTOR,SUBSECTOR
Computer Maintenance Technician,ICT and digital work,Repair of Telecommunication Terminal Equipment
Computer Management Specialist,ICT and digital work,Software Design Development and Implementation Works
Computer Network Architect,ICT and digital work,Computer network design deployment and implementation tasks
Computer Network Support Specialist,ICT and digital work,Computer network design deployment and implementation tasks
Computer Networking Specialist,ICT and digital work,Computer network design deployment and implementation tasks
Computer Numerically Controlled Tool Operator,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Computer Numerically Controlled Tool Programmer,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
"Computer Occupations, All Other",ICT and digital work,Software Design Development and Implementation Works
Computer Programmer,ICT and digital work,Software Design Development and Implementation Works
Computer Programming Instructor,ICT and digital work,Information Communication Technology Training Service
Computer Sales Executive,Business,"Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories"
Computer Scientist,ICT and digital work,General research and experimental development work
Computer Science Teacher,Education,other
Virtual Assistant,ICT and digital work,Software Design Development and Implementation Works
Computer Science Tutor,Education,other
Computer Repair Technician,ICT and digital work,Repair of Telecommunication Terminal Equipment
Computer Systems Analyst,ICT and digital work,Software Design Development and Implementation Works
Computer Systems Engineer,ICT and digital work,Software Design Development and Implementation Works
Computer Teacher,Education,other
Computer User Support Specialist,ICT and digital work,Information Communication Technology Training Service
Office Machine Repairer,Service,Other unmentioned repair jobs
Plant Mechanic,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Concrete Batch Plant Operator,Construction,Building Construction Contractor
Electrical Technician,Construction,Electrical Works Contractor
Mechanical Technician,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Concrete Engineer,Construction,Building Construction Contractor
Conference Services Coordinator,Service,Special event coordination
Peacebuilding Specialist,Service,Social work services
Conflict Early Warning Officer,Service,Social work services
GIS Analyst,Service,Geo-Spatial / Earth Information / Service
Conflict Prevention Specialist,Service,Social work services
Conflict Analyst,Service,Social work services
Conflict Resolution Specialist,Service,Social work services
Conflict Monitoring Officer,Service,Social work services
Gender Advisor,Service,Social work services
Human Rights Advisor,Service,Social work services
Conservation Scientist,Service,"Conservation of plants, animals and nature attractions"
Engineering Manager,Construction,Building Construction Contractor
Construction and Building Inspector,Construction,Building Construction Contractor
Construction Director,Construction,Building Construction Contractor
Design Officer,Construction,Building Construction Contractor
Infrastructure Analyst,Construction,Building Construction Contractor
Construction Worker,Construction,Building Construction Contractor
Construction Engineer,Construction,Building Construction Contractor
Construction Auditor,Construction,Building Construction Contractor
Dispute Resolution Specialist,Service,Social work services
Construction Expert,Construction,Building Construction Contractor
Construction Laboratory Technician,Construction,Building Construction Contractor
Construction Laborer,Construction,Building Construction Contractor
Maintenance Manager,Service,General maintenance
Construction Estimator,Construction,Building Construction Contractor
Storekeeper,Business,Wholesale business in specialized stores
Construction Supervisor,Construction,Building Construction Contractor
Field Coordinator,Construction,Building Construction Contractor
Construction Professional,Construction,Building Construction Contractor
Contract Administrator,Construction,Building Construction Contractor
Construction Project Monitor,Construction,Building Construction Contractor
Construction Contract Administrator,Construction,Building Construction Contractor
Construction Quality Control Specialist,Construction,Building Construction Contractor
Construction Design Manager,Construction,Building Construction Contractor
Regulatory Analyst,Service,Finance and Administration Services
Database Administrator,ICT and digital work,Database organization and data processing
Software Programmer,ICT and digital work,Software Design Development and Implementation Works
Construction Contract Manager,Construction,Building Construction Contractor
Technology Adaptation Specialist,Service,Industrial research and experimental development activities
Technology Dissemination Specialist,Service,Industrial research and experimental development activities
Technology Promotion Specialist,ICT and digital work,Information Communication Technology Training Service
Technology Transfer Specialist,ICT and digital work,Information Communication Technology Training Service
Timekeeper,Service,Other services
Workshop Technician,Manufacturing,Another unmentioned factory works
Consular Officer,Service,Other services
Consular Assistant,Service,Other services
Safety Consultant,Service,Occupational Safety and Health Care Consulting Service
Consultant,Service,Other services
Training Manager,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Consultant Assistant,Service,Other services
Research Consultant,Service,Research and experimental development activities in agriculture and animal husbandry
Market Research Consultant,Service,Research and Experimental Development Works on Economics and Development
Gender Consultant,Service,Research and experimental development work on cultural and social life
Business Consultant,Service,Business Promotion Service
Advocacy Consultant,Service,Other services
Digital Marketing Consultant,Service,Advertising
Energy Consultant,Service,Engineering Consulting Service
Microfinance Consultant,Service,Finance and Administration Services
Policy Consultant,Service,Research and Experimental Development Works on Economics and Development
Management Consultant,Service,Quality Management Consulting Service
Financial Analyst,Service,Finance and Administration Services
Public-Private Partnerships Expert,Service,Business Promotion Service
Digital Financial Services Consultant,Service,Finance and Administration Services
